what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.tptp.test.samples,4.2.100.v200805310100,org.eclipse.tptp.test.samples,1267709812814
stopped,bundle,org.eclipse.hyades.test.ui,4.2.500.v200806131133,org.eclipse.hyades.test.ui,1267709812814
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1267709812814
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20080530,org.eclipse.pde.ui,1267709812814
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1267709812814
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.100.v20080528,org.eclipse.jst.server.tomcat.ui,1267709812814
stopped,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1267709812814
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1267709812814
stopped,bundle,org.springframework.ide.eclipse.beans.mylyn,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.beans.mylyn,1267709812814
stopped,bundle,org.springframework.ide.eclipse.mylyn,2.3.0.200912170948-RELEASE,org.springframework.ide.eclipse.mylyn,1267709812814
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1267709812829
stopped,bundle,org.eclipse.tptp.trace.jvmti.client,4.4.100.v200806162043,org.eclipse.tptp.trace.jvmti.client,1267709812829
stopped,bundle,org.eclipse.hyades.trace.views,4.1.501.v200806061557,org.eclipse.hyades.trace.views,1267709812829
stopped,bundle,org.eclipse.tptp.platform.probekit.launch,4.4.100.v200804110100,org.eclipse.tptp.platform.probekit.launch,1267709812829
stopped,bundle,org.eclipse.tptp.monitoring.managedagent.jmx,4.4.1.v200805120832,org.eclipse.tptp.monitoring.managedagent.jmx,1267709812829
stopped,bundle,org.eclipse.tptp.monitoring.managedagent.ui,4.4.100.v200804110100,org.eclipse.tptp.monitoring.managedagent.ui,1267709812829
stopped,bundle,org.eclipse.tptp.monitoring.managedagent,4.4.100.v200805120832,org.eclipse.tptp.monitoring.managedagent,1267709812829
stopped,bundle,org.eclipse.tptp.platform.report.birt.ui,4.4.100.v200804161128,org.eclipse.tptp.platform.report.birt.ui,1267709812829
stopped,bundle,org.eclipse.hyades.trace.ui,4.4.101.v200806130100,org.eclipse.hyades.trace.ui,1267709812829
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1267709812829
stopped,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1267709812829
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.0.100.v200805140145,org.eclipse.jst.server.preview.adapter,1267709812829
stopped,bundle,com.sysdeo.eclipse.tomcat,3.2.1,com.sysdeo.eclipse.tomcat,1267709812829
stopped,bundle,de.loskutov.BytecodeOutline,2.2.7,de.loskutov.BytecodeOutline,1267709812829
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1267709812829
